symbol,entry_date,entry_price,entry_sl,entry_target,current_sl,current_target,setup_type,status,close_date,close_price,updated_at,current_price,current_return
ADANIENT.NS,2026-07-01,3143.6,2977.2,3285.062,2977.2,3285.062,momentum_breakout,OPEN,,,2026-07-08T21:33:30.261082,3183.300048828125,+1.26%
BOSCHLTD.NS,2026-07-01,40785.0,38811.88,42620.325,39871.29,43780.274999999994,momentum,OPEN,,,2026-07-08T21:34:27.282574,40960.0,+0.43%
AXISBANK.NS,2026-07-10,1323.7,1265.56,1383.2665,1269.93,1388.2824999999998,pullback_sma50,CLOSED,2026-07-20,1256.0,2026-07-20T12:31:14.968494,1256.0,-5.11%
HDFCBANK.NS,2026-07-06,829.85,800.23,867.1932499999999,794.51,862.07275,momentum_breakout,CLOSED,2026-07-20,777.5999755859375,2026-07-20T12:31:16.829419,777.5999755859375,-6.30%
HAL.NS,2026-07-10,4506.8,4265.05,4709.606,4265.05,4709.606,macd_crossover,OPEN,,,2026-07-10T12:40:18.322708,4491.0,-0.35%
LODHA.NS,2026-07-02,1006.2,947.43,1051.479,1046.15,1165.2794999999999,momentum,CLOSED,2026-07-10,1220.75,2026-07-10T12:40:25.693165,1220.75,+21.32%
ASIANPAINT.NS,2026-06-29,2656.9,2536.11,2776.4604999999997,2626.73,2878.8705,pullback_sma50,CLOSED,2026-07-20,2691.39990234375,2026-07-20T12:31:12.816324,2691.39990234375,+1.30%
TRENT.NS,2026-06-29,3258.3,3079.47,3404.9235,3079.47,3404.9235,momentum,CLOSED,2026-07-07,2927.800048828125,2026-07-08T21:35:33.970187,2927.800048828125,-10.14%
TITAN.NS,2026-06-30,4404.0,4217.8,4602.179999999999,4451.48,4833.961,momentum_breakout,OPEN,,,2026-07-16T11:58:58.495492,4643.39990234375,+5.44%
BAJFINANCE.NS,2026-06-29,976.05,933.22,1019.9722499999999,996.16,1089.4125,momentum,CLOSED,2026-07-20,1064.0,2026-07-20T12:31:16.117128,1064.0,+9.01%
MOTHERSON.NS,2026-06-25,151.71,142.19,158.53695,142.19,158.53695,momentum_breakout,CLOSED,2026-07-08,140.64999389648438,2026-07-08T21:36:01.723492,140.64999389648438,-7.29%
TORNTPHARM.NS,2026-07-08,4866.4,4663.94,5085.387999999999,4663.94,5085.387999999999,momentum_breakout,OPEN,,,2026-07-08T23:12:12.651122,5005.39990234375,+2.86%
UNITDSPR.NS,2026-06-24,1359.1,1299.78,1420.2595,1299.78,1420.2595,momentum_breakout,CLOSED,2026-07-07,1428.4000244140625,2026-07-08T21:35:33.975030,1428.4000244140625,+5.10%
SHREECEM.NS,2026-06-24,26070.0,24892.99,27243.149999999998,25882.2,28214.999999999996,momentum_breakout,CLOSED,2026-07-16,27000.0,2026-07-16T11:59:06.089093,27000.0,+3.57%
DIVISLAB.NS,2026-07-13,6938.5,6653.92,7250.732499999999,6881.46,7511.982499999999,momentum,OPEN,,,2026-07-14T11:52:26.113534,7318.0,+5.47%
DRREDDY.NS,2026-06-23,1301.3,1237.61,1359.8584999999998,1237.61,1359.8584999999998,macd_crossover,CLOSED,2026-06-29,1375.699951171875,2026-07-08T21:32:45.536408,1375.699951171875,+5.72%
PIDILITIND.NS,2026-06-19,1579.9,1518.28,1650.9955,1548.96,1677.643,momentum,CLOSED,2026-07-13,1580.699951171875,2026-07-13T12:44:39.871773,1580.699951171875,+0.05%
MAXHEALTH.NS,2026-06-18,1090.45,1035.02,1139.52025,1064.39,1173.9007499999998,momentum_breakout,CLOSED,2026-07-10,1108.0999755859375,2026-07-10T12:40:25.113020,1108.0999755859375,+1.62%
MAZDOCK.NS,2026-06-17,2552.4,2417.93,2667.258,2417.93,2667.258,momentum_breakout,CLOSED,2026-07-08,2450.699951171875,2026-07-08T21:36:01.714545,2450.699951171875,-3.98%
SOLARINDS.NS,2026-07-20,19028.0,17891.19,19884.26,17891.19,19884.26,momentum_breakout,OPEN,,,2026-07-20T12:31:07.748920,19028.0,+0.00%
CIPLA.NS,2026-07-03,1458.2,1404.44,1523.819,1383.47,1502.8144999999997,momentum,OPEN,,,2026-07-14T11:52:26.119314,1441.5999755859375,-1.14%
CANBK.NS,2026-06-17,135.24,127.64,141.3258,127.64,141.3258,momentum_breakout,CLOSED,2026-06-29,125.86000061035156,2026-07-08T21:32:45.533299,125.86000061035156,-6.94%
RECLTD.NS,2026-06-16,356.55,337.51,372.59475,338.56,386.49325,pullback_sma50,CLOSED,2026-07-07,356.25,2026-07-08T21:35:33.971450,356.25,-0.08%
SUNPHARMA.NS,2026-07-14,1942.6,1877.77,2030.0169999999998,1877.77,2030.0169999999998,momentum,OPEN,,,2026-07-14T11:52:26.117243,1956.4000244140625,+0.71%
ZYDUSLIFE.NS,2026-07-20,1149.0,1098.72,1200.705,1098.72,1200.705,momentum,OPEN,,,2026-07-20T12:31:07.756255,1149.0,+0.00%
DMART.NS,2026-06-16,4201.3,3933.29,4390.3585,4073.31,4480.4375,macd_crossover,CLOSED,2026-07-03,3994.39990234375,2026-07-08T21:34:39.901802,3994.39990234375,-4.92%
HDFCAMC.NS,2026-06-15,2622.9,2484.62,2740.9305,2530.89,2768.9365,pullback_sma50,CLOSED,2026-07-03,2800.199951171875,2026-07-08T21:34:39.885023,2800.199951171875,+6.76%
LT.NS,2026-06-12,4049.3,3822.56,4231.5185,4061.62,4406.137999999999,pullback_sma50,CLOSED,2026-07-02,4059.39990234375,2026-07-08T21:34:11.014915,4059.39990234375,+0.25%
