symbol,signal_date,score,setup_type,entry_price,rsi,adx,stop_loss,target,reasons,outcome,exit_price,exit_date,days_held,return_pct,pointer_uptrend_sma50,pointer_rsi_momentum,pointer_macd_crossover,pointer_volume_spike,pointer_breakout_proximity,pointer_adx_strong_trend,pointer_sma_cross,pointer_pullback_sma50
INFY.NS,2021-06-28,3,momentum,1368.99,84.6,52.19649008105152,1334.67,1437.64,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25,timeout,1342.7783203125,2021-07-19,15,-1.91,True,False,False,False,True,True,False,False
RELIANCE.NS,2021-06-28,2,momentum,944.79,41.5,29.66663831349368,909.98,1014.4,Uptrend (above rising SMA50); ADX greater than 25,timeout,950.6520385742188,2021-07-19,15,0.62,True,False,False,False,False,True,False,False
INFY.NS,2021-06-29,3,momentum,1361.37,80.3,54.04306282192983,1328.15,1427.82,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25,timeout,1350.051025390625,2021-07-20,15,-0.83,True,False,False,False,True,True,False,False
RELIANCE.NS,2021-06-29,2,momentum,945.6,41.8,28.754532941458876,912.07,1012.67,Uptrend (above rising SMA50); ADX greater than 25,timeout,948.3195190429688,2021-07-20,15,0.29,True,False,False,False,False,True,False,False
INFY.NS,2021-06-30,3,momentum,1376.83,82.3,55.9470909228085,1343.37,1443.76,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25,stop_loss_hit,1343.37,2021-07-12,8,-2.43,True,False,False,False,True,True,False,False
RELIANCE.NS,2021-06-30,3,momentum,955.95,45.9,27.535794905094694,923.12,1021.61,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,timeout,960.5029907226562,2021-07-22,15,0.48,True,True,False,False,False,True,False,False
INFY.NS,2021-07-01,2,momentum,1359.07,73.3,56.65546515691709,1325.97,1425.26,Uptrend (above rising SMA50); ADX greater than 25,timeout,1385.2381591796875,2021-07-23,15,1.93,True,False,False,False,False,True,False,False
RELIANCE.NS,2021-07-01,2,momentum,950.2,44.0,26.380477432248988,918.35,1013.9,Uptrend (above rising SMA50); ADX greater than 25,timeout,953.7092895507812,2021-07-23,15,0.37,True,False,False,False,False,True,False,False
INFY.NS,2021-07-02,3,momentum,1365.51,74.4,56.13354205801863,1332.27,1431.99,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25,timeout,1396.952880859375,2021-07-26,15,2.3,True,False,False,False,True,True,False,False
RELIANCE.NS,2021-07-02,5,pullback_sma50,964.28,49.4,25.01890039033131,926.38,1040.09,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Pullback to SMA50 (9d after golden cross),timeout,940.6425170898438,2021-07-26,15,-2.45,True,True,False,False,False,True,False,True
INFY.NS,2021-07-05,3,momentum,1375.22,76.0,55.98776135666511,1342.12,1441.43,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25,stop_loss_hit,1342.12,2021-07-12,5,-2.41,True,False,False,False,True,True,False,False
RELIANCE.NS,2021-07-05,2,momentum,973.86,52.8,23.29944014328485,943.41,1034.77,Uptrend (above rising SMA50); RSI in healthy zone,stop_loss_hit,943.41,2021-07-08,3,-3.13,True,True,False,False,False,False,False,False
INFY.NS,2021-07-06,2,momentum,1360.63,69.1,55.579302362494445,1327.13,1427.64,Uptrend (above rising SMA50); ADX greater than 25,timeout,1398.4334716796875,2021-07-28,15,2.78,True,False,False,False,False,True,False,False
RELIANCE.NS,2021-07-06,2,momentum,962.36,48.6,21.885181048127812,932.63,1021.82,Uptrend (above rising SMA50); RSI in healthy zone,stop_loss_hit,932.63,2021-07-27,14,-3.09,True,True,False,False,False,False,False,False
INFY.NS,2021-07-07,2,momentum,1362.72,69.5,54.37484554665675,1329.2,1429.77,Uptrend (above rising SMA50); ADX greater than 25,timeout,1408.3624267578125,2021-07-29,15,3.35,True,False,False,False,False,True,False,False
RELIANCE.NS,2021-07-07,2,momentum,955.68,46.3,21.14656780383092,926.63,1013.78,Uptrend (above rising SMA50); RSI in healthy zone,stop_loss_hit,926.63,2021-07-27,13,-3.04,True,True,False,False,False,False,False,False
INFY.NS,2021-07-08,2,momentum,1359.37,67.9,53.409175534090586,1325.72,1426.67,Uptrend (above rising SMA50); ADX greater than 25,timeout,1402.7012939453125,2021-07-30,15,3.19,True,False,False,False,False,True,False,False
RELIANCE.NS,2021-07-08,1,momentum,947.78,43.7,20.86844681720721,919.06,1005.21,Uptrend (above rising SMA50),stop_loss_hit,919.06,2021-07-28,13,-3.03,True,False,False,False,False,False,False,False
INFY.NS,2021-07-09,2,momentum,1361.24,68.3,52.51163484136309,1328.23,1427.27,Uptrend (above rising SMA50); ADX greater than 25,timeout,1421.03515625,2021-08-02,15,4.39,True,False,False,False,False,True,False,False
INFY.NS,2021-07-12,3,momentum,1348.13,61.9,50.53420341928751,1313.35,1417.7,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,target_hit,1417.7,2021-08-02,14,5.16,True,True,False,False,False,True,False,False
INFY.NS,2021-07-13,3,momentum,1345.61,60.7,48.69652558456173,1311.43,1413.97,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,target_hit,1413.97,2021-08-02,13,5.08,True,True,False,False,False,True,False,False
RELIANCE.NS,2021-07-13,2,momentum,950.99,46.3,20.381664087962463,924.6,1003.78,Uptrend (above rising SMA50); RSI in healthy zone,stop_loss_hit,924.6,2021-07-28,10,-2.78,True,True,False,False,False,False,False,False
INFY.NS,2021-07-14,3,momentum,1373.44,68.0,47.89201314597263,1337.53,1445.25,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25,target_hit,1445.25,2021-08-04,14,5.23,True,False,False,False,True,True,False,False
INFY.NS,2021-07-15,4,momentum,1376.83,68.7,47.54048255992202,1339.68,1451.14,Uptrend (above rising SMA50); Volume spike (>1.5x avg); Near 20-day high; ADX greater than 25,stop_loss_hit,1339.68,2021-07-19,2,-2.7,True,False,False,True,True,True,False,False
INFY.NS,2021-07-16,3,momentum,1354.75,58.9,46.795384657000604,1317.34,1429.58,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,target_hit,1429.58,2021-08-03,11,5.52,True,True,False,False,False,True,False,False
RELIANCE.NS,2021-07-16,4,pullback_sma50,956.74,49.5,19.462031328006123,937.34,995.55,Uptrend (above rising SMA50); RSI in healthy zone; Pullback to SMA50 (19d after golden cross),stop_loss_hit,937.34,2021-07-27,6,-2.03,True,True,False,False,False,False,False,True
INFY.NS,2021-07-19,3,momentum,1342.78,54.4,45.33876485865289,1306.37,1415.59,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,target_hit,1415.59,2021-08-02,9,5.42,True,True,False,False,False,True,False,False
RELIANCE.NS,2021-07-19,1,momentum,950.65,47.1,18.37230232027644,926.35,999.26,RSI in healthy zone,stop_loss_hit,926.35,2021-07-27,5,-2.56,False,True,False,False,False,False,False,False
INFY.NS,2021-07-20,3,momentum,1350.05,56.5,44.15611377987984,1314.4,1421.35,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,target_hit,1421.35,2021-08-02,8,5.28,True,True,False,False,False,True,False,False
RELIANCE.NS,2021-07-20,1,momentum,948.32,46.2,17.63952358407504,924.58,995.8,RSI in healthy zone,stop_loss_hit,924.58,2021-07-28,5,-2.5,False,True,False,False,False,False,False,False
INFY.NS,2021-07-22,3,momentum,1385.02,65.2,44.0801487665212,1347.93,1459.2,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25,target_hit,1459.2,2021-08-04,9,5.36,True,False,False,False,True,True,False,False
RELIANCE.NS,2021-07-22,2,momentum,960.5,51.6,16.398350293255927,937.0,1007.51,Uptrend (above rising SMA50); RSI in healthy zone,stop_loss_hit,937.0,2021-07-27,3,-2.45,True,True,False,False,False,False,False,False
INFY.NS,2021-07-23,3,momentum,1385.24,65.3,44.14793779509835,1349.54,1456.63,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25,target_hit,1456.63,2021-08-04,8,5.15,True,False,False,False,True,True,False,False
RELIANCE.NS,2021-07-23,1,momentum,953.71,48.6,15.619892483976875,930.32,1000.49,RSI in healthy zone,stop_loss_hit,930.32,2021-07-27,2,-2.45,False,True,False,False,False,False,False,False
INFY.NS,2021-07-26,3,momentum,1396.95,67.7,44.536244399790185,1361.82,1467.22,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25,target_hit,1467.22,2021-08-12,13,5.03,True,False,False,False,True,True,False,False
INFY.NS,2021-07-27,3,momentum,1395.78,67.2,44.87742319963395,1362.09,1463.15,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25,target_hit,1463.15,2021-08-10,10,4.83,True,False,False,False,True,True,False,False
INFY.NS,2021-07-28,3,momentum,1398.43,67.8,44.37340213988472,1365.09,1465.12,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25,target_hit,1465.12,2021-08-11,10,4.77,True,False,False,False,True,True,False,False
INFY.NS,2021-07-29,3,momentum,1408.36,70.0,44.236261304189895,1375.55,1473.99,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25,target_hit,1473.99,2021-08-12,10,4.66,True,False,False,False,True,True,False,False
