symbol,signal_date,score,setup_type,entry_price,rsi,adx,stop_loss,target,reasons,outcome,exit_price,exit_date,days_held,return_pct,pointer_uptrend_sma50,pointer_rsi_momentum,pointer_macd_crossover,pointer_volume_spike,pointer_breakout_proximity,pointer_adx_strong_trend,pointer_sma_cross,pointer_pullback_sma50,pointer_ols_breakout,pointer_strong_rsi,pointer_sma100_support
INFY.NS,2021-06-28,3,momentum,1368.99,84.6,52.196405158063804,1334.67,1437.64,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25,timeout,1342.7784423828125,2021-07-19,15,-1.91,True,False,False,False,True,True,False,False,False,False,False
RELIANCE.NS,2021-06-28,2,momentum,944.79,41.5,29.66664628885756,909.98,1014.4,Uptrend (above rising SMA50); ADX greater than 25,timeout,950.6520385742188,2021-07-19,15,0.62,True,False,False,False,False,True,False,False,False,False,False
TCS.NS,2021-06-28,3,momentum,2908.18,62.6,32.77180586025295,2831.27,3061.99,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,stop_loss_hit,2831.27,2021-07-07,7,-2.64,True,True,False,False,False,True,False,False,False,False,False
INFY.NS,2021-06-29,3,momentum,1361.37,80.3,54.04296917261968,1328.15,1427.82,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25,timeout,1350.0511474609375,2021-07-20,15,-0.83,True,False,False,False,True,True,False,False,False,False,False
RELIANCE.NS,2021-06-29,2,momentum,945.6,41.8,28.7545386816142,912.07,1012.67,Uptrend (above rising SMA50); ADX greater than 25,timeout,948.3195190429688,2021-07-20,15,0.29,True,False,False,False,False,True,False,False,False,False,False
TCS.NS,2021-06-29,3,momentum,2911.75,62.9,33.088075988120245,2836.62,3062.01,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,stop_loss_hit,2836.62,2021-07-07,6,-2.58,True,True,False,False,False,True,False,False,False,False,False
INFY.NS,2021-06-30,4,momentum,1376.83,82.3,55.94698903140712,1343.37,1443.76,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Open-Low Same (conviction buy),stop_loss_hit,1343.37,2021-07-12,8,-2.43,True,False,False,False,True,True,False,False,True,False,False
RELIANCE.NS,2021-06-30,3,momentum,955.95,45.9,27.535795484499207,923.12,1021.61,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,timeout,960.5029907226562,2021-07-22,15,0.48,True,True,False,False,False,True,False,False,False,False,False
TCS.NS,2021-06-30,3,momentum,2916.02,63.4,33.61102745490043,2842.19,3063.68,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,stop_loss_hit,2842.19,2021-07-06,4,-2.53,True,True,False,False,False,True,False,False,False,False,False
INFY.NS,2021-07-01,3,momentum,1359.07,73.3,56.65539969989731,1325.97,1425.26,Uptrend (above rising SMA50); ADX greater than 25; Strong RSI momentum,timeout,1385.23828125,2021-07-23,15,1.93,True,False,False,False,False,True,False,False,False,True,False
RELIANCE.NS,2021-07-01,2,momentum,950.2,44.0,26.38047714030026,918.35,1013.9,Uptrend (above rising SMA50); ADX greater than 25,timeout,953.709228515625,2021-07-23,15,0.37,True,False,False,False,False,True,False,False,False,False,False
TCS.NS,2021-07-01,3,momentum,2912.32,62.7,33.88411935572395,2840.99,3054.97,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,stop_loss_hit,2840.99,2021-07-06,3,-2.45,True,True,False,False,False,True,False,False,False,False,False
INFY.NS,2021-07-02,4,momentum,1365.51,74.4,56.133469460739505,1332.27,1431.99,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Strong RSI momentum,timeout,1396.95263671875,2021-07-26,15,2.3,True,False,False,False,True,True,False,False,False,True,False
RELIANCE.NS,2021-07-02,6,pullback_sma50,964.28,49.4,25.018903497217934,926.38,1040.09,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Pullback to SMA50 (9d after golden cross); Open-Low Same (conviction buy),timeout,940.642578125,2021-07-26,15,-2.45,True,True,False,False,False,True,False,True,True,False,False
TCS.NS,2021-07-02,3,momentum,2898.33,59.7,33.004806100322476,2827.77,3039.44,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,stop_loss_hit,2827.77,2021-07-07,3,-2.43,True,True,False,False,False,True,False,False,False,False,False
INFY.NS,2021-07-05,4,momentum,1375.22,76.0,55.98768514208731,1342.12,1441.43,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Strong RSI momentum,stop_loss_hit,1342.12,2021-07-12,5,-2.41,True,False,False,False,True,True,False,False,False,True,False
RELIANCE.NS,2021-07-05,2,momentum,973.86,52.8,23.29944659182576,943.41,1034.77,Uptrend (above rising SMA50); RSI in healthy zone,stop_loss_hit,943.41,2021-07-08,3,-3.13,True,True,False,False,False,False,False,False,False,False,False
TCS.NS,2021-07-05,3,momentum,2894.45,58.9,32.76457658331354,2822.21,3038.93,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,stop_loss_hit,2822.21,2021-07-08,3,-2.5,True,True,False,False,False,True,False,False,False,False,False
INFY.NS,2021-07-06,3,momentum,1360.63,69.1,55.579233128248525,1327.13,1427.64,Uptrend (above rising SMA50); ADX greater than 25; Strong RSI momentum,timeout,1398.43359375,2021-07-28,15,2.78,True,False,False,False,False,True,False,False,False,True,False
RELIANCE.NS,2021-07-06,2,momentum,962.36,48.6,21.8851831114067,932.63,1021.82,Uptrend (above rising SMA50); RSI in healthy zone,stop_loss_hit,932.63,2021-07-27,14,-3.09,True,True,False,False,False,False,False,False,False,False,False
TCS.NS,2021-07-06,3,momentum,2843.29,49.1,31.344974046237034,2769.5,2990.87,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,stop_loss_hit,2769.5,2021-07-13,5,-2.6,True,True,False,False,False,True,False,False,False,False,False
INFY.NS,2021-07-07,3,momentum,1362.72,69.5,54.37479211098082,1329.2,1429.77,Uptrend (above rising SMA50); ADX greater than 25; Strong RSI momentum,timeout,1408.3626708984375,2021-07-29,15,3.35,True,False,False,False,False,True,False,False,False,True,False
RELIANCE.NS,2021-07-07,2,momentum,955.68,46.3,21.146571714123578,926.63,1013.78,Uptrend (above rising SMA50); RSI in healthy zone,stop_loss_hit,926.63,2021-07-27,13,-3.04,True,True,False,False,False,False,False,False,False,False,False
TCS.NS,2021-07-07,3,momentum,2854.31,51.0,29.687708988066113,2781.95,2999.04,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,stop_loss_hit,2781.95,2021-07-12,3,-2.54,True,True,False,False,False,True,False,False,False,False,False
INFY.NS,2021-07-08,3,momentum,1359.37,67.9,53.409128683909486,1325.72,1426.67,Uptrend (above rising SMA50); ADX greater than 25; Strong RSI momentum,timeout,1402.7012939453125,2021-07-30,15,3.19,True,False,False,False,False,True,False,False,False,True,False
RELIANCE.NS,2021-07-08,2,momentum,947.78,43.7,20.868451357351745,919.06,1005.21,Uptrend (above rising SMA50); Pullback to SMA100 support,stop_loss_hit,919.06,2021-07-28,13,-3.03,True,False,False,False,False,False,False,False,False,False,True
TCS.NS,2021-07-08,3,momentum,2839.98,48.5,28.4519849322708,2766.61,2986.71,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,stop_loss_hit,2766.61,2021-07-20,8,-2.58,True,True,False,False,False,True,False,False,False,False,False
INFY.NS,2021-07-09,3,momentum,1361.24,68.3,52.511594082735755,1328.23,1427.27,Uptrend (above rising SMA50); ADX greater than 25; Strong RSI momentum,timeout,1421.0352783203125,2021-08-02,15,4.39,True,False,False,False,False,True,False,False,False,True,False
RELIANCE.NS,2021-07-09,1,momentum,938.08,40.7,20.949777889527155,910.13,993.99,Pullback to SMA100 support,timeout,938.6724243164062,2021-08-02,15,0.06,False,False,False,False,False,False,False,False,False,False,True
TCS.NS,2021-07-09,3,momentum,2796.09,41.7,26.58952480502889,2720.41,2947.46,Uptrend (above rising SMA50); Volume spike (>1.5x avg); ADX greater than 25,timeout,2812.022216796875,2021-08-02,15,0.57,True,False,False,True,False,True,False,False,False,False,False
INFY.NS,2021-07-12,3,momentum,1348.13,61.9,50.53416657176734,1313.35,1417.7,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,target_hit,1417.7,2021-08-02,14,5.16,True,True,False,False,False,True,False,False,False,False,False
RELIANCE.NS,2021-07-12,1,momentum,943.93,43.3,20.684091777463504,916.5,998.78,Pullback to SMA100 support,stop_loss_hit,916.5,2021-07-28,11,-2.91,False,False,False,False,False,False,False,False,False,False,True
INFY.NS,2021-07-13,3,momentum,1345.61,60.7,48.69649238341186,1311.43,1413.97,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,target_hit,1413.97,2021-08-02,13,5.08,True,True,False,False,False,True,False,False,False,False,False
RELIANCE.NS,2021-07-13,3,momentum,950.99,46.3,20.381660533207537,924.6,1003.78,Uptrend (above rising SMA50); RSI in healthy zone; Pullback to SMA100 support,stop_loss_hit,924.6,2021-07-28,10,-2.78,True,True,False,False,False,False,False,False,False,False,True
TCS.NS,2021-07-13,1,momentum,2778.14,39.3,23.443951213311493,2705.1,2924.22,Pullback to SMA100 support,timeout,2859.66943359375,2021-08-04,15,2.93,False,False,False,False,False,False,False,False,False,False,True
INFY.NS,2021-07-14,4,momentum,1373.44,68.0,47.89198407194028,1337.53,1445.25,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Strong RSI momentum,target_hit,1445.25,2021-08-04,14,5.23,True,False,False,False,True,True,False,False,False,True,False
RELIANCE.NS,2021-07-14,1,momentum,944.79,44.1,20.281091121850842,919.04,996.28,Pullback to SMA100 support,stop_loss_hit,919.04,2021-07-28,9,-2.73,False,False,False,False,False,False,False,False,False,False,True
TCS.NS,2021-07-14,3,momentum,2801.67,44.2,21.981814379422108,2730.4,2944.21,Uptrend (above rising SMA50); Open-Low Same (conviction buy); Pullback to SMA100 support,timeout,2868.404052734375,2021-08-05,15,2.38,True,False,False,False,False,False,False,False,True,False,True
INFY.NS,2021-07-15,6,momentum,1376.83,68.7,47.54045404707277,1339.68,1451.14,Uptrend (above rising SMA50); Volume spike (>1.5x avg); Near 20-day high; ADX greater than 25; Open-Low Same (conviction buy); Strong RSI momentum,stop_loss_hit,1339.68,2021-07-19,2,-2.7,True,False,False,True,True,True,False,False,True,True,False
RELIANCE.NS,2021-07-15,1,momentum,943.13,43.5,20.265271822193192,918.43,992.54,Pullback to SMA100 support,stop_loss_hit,918.43,2021-07-28,8,-2.62,False,False,False,False,False,False,False,False,False,False,True
TCS.NS,2021-07-15,1,momentum,2797.65,43.5,20.60781281169242,2727.93,2937.1,Uptrend (above rising SMA50),timeout,2890.98291015625,2021-08-06,15,3.34,True,False,False,False,False,False,False,False,False,False,False
INFY.NS,2021-07-16,3,momentum,1354.75,58.9,46.79536465966665,1317.34,1429.58,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,target_hit,1429.58,2021-08-03,11,5.52,True,True,False,False,False,True,False,False,False,False,False
RELIANCE.NS,2021-07-16,6,pullback_sma50,956.74,49.5,19.46201974059425,937.34,995.55,Uptrend (above rising SMA50); RSI in healthy zone; Pullback to SMA50 (19d after golden cross); Open-Low Same (conviction buy); Pullback to SMA100 support,stop_loss_hit,937.34,2021-07-27,6,-2.03,True,True,False,False,False,False,False,True,True,False,True
INFY.NS,2021-07-19,3,momentum,1342.78,54.4,45.338758451604726,1306.37,1415.6,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,target_hit,1415.6,2021-08-02,9,5.42,True,True,False,False,False,True,False,False,False,False,False
RELIANCE.NS,2021-07-19,1,momentum,950.65,47.1,18.372290686657976,926.35,999.26,RSI in healthy zone,stop_loss_hit,926.35,2021-07-27,5,-2.56,False,True,False,False,False,False,False,False,False,False,False
