combination,total_signals,closed_signals,target_hits,stop_loss_hits,timeouts,win_rate_target_vs_stop_pct,win_rate_overall_pct,avg_return_pct,profit_factor
breakout_proximity + sma_cross,11,11,6,4,1,60.0,63.6,2.03,2.9
uptrend_sma50 + breakout_proximity + sma_cross,11,11,6,4,1,60.0,63.6,2.03,2.9
rsi_momentum + volume_spike + breakout_proximity,26,26,8,12,6,40.0,50.0,1.13,1.87
volume_spike + sma_cross,2,2,1,1,0,50.0,50.0,1.37,1.82
rsi_momentum + volume_spike + adx_strong_trend,22,22,5,9,8,35.7,50.0,0.9,1.66
rsi_momentum + macd_crossover + volume_spike,12,12,5,6,1,45.5,41.7,1.07,1.61
rsi_momentum + volume_spike,71,71,21,34,16,38.2,46.5,0.89,1.58
uptrend_sma50 + rsi_momentum,357,357,108,180,69,37.5,45.4,0.58,1.39
rsi_momentum + macd_crossover + breakout_proximity,25,25,8,13,4,38.1,48.0,0.59,1.38
Single: uptrend_sma50,517,517,150,268,99,35.9,44.1,0.43,1.28
Single: rsi_momentum,727,727,196,371,160,34.6,43.7,0.43,1.26
Score >= 3,423,423,115,217,91,34.6,43.7,0.37,1.24
uptrend_sma50 + adx_strong_trend,241,241,66,125,50,34.6,43.2,0.33,1.22
uptrend_sma50 + breakout_proximity + adx_strong_trend,115,115,38,62,15,38.0,42.6,0.32,1.21
uptrend_sma50 + rsi_momentum + macd_crossover,37,37,10,22,5,31.2,40.5,0.33,1.19
Single: adx_strong_trend,534,534,126,277,131,31.3,43.4,0.3,1.18
rsi_momentum + adx_strong_trend,253,253,54,129,70,29.5,41.9,0.29,1.18
uptrend_sma50 + sma_cross,27,27,6,15,6,28.6,44.4,0.3,1.18
rsi_momentum + breakout_proximity,182,182,46,95,41,32.6,43.4,0.27,1.17
macd_crossover + breakout_proximity,46,46,12,25,9,32.4,45.7,0.23,1.14
uptrend_sma50 + breakout_proximity,224,224,67,120,37,35.8,41.1,0.17,1.11
Single: breakout_proximity,330,330,86,177,67,32.7,41.8,0.17,1.11
uptrend_sma50 + rsi_momentum + breakout_proximity,85,85,27,45,13,37.5,40.0,0.16,1.1
