symbol,signal_date,score,reasons,entry_price,rsi,stop_loss,target,outcome,exit_price,exit_date,days_held,return_pct,pointer_uptrend_sma50,pointer_rsi_momentum,pointer_macd_crossover,pointer_volume_spike,pointer_breakout_proximity,pointer_adx_strong_trend,pointer_sma_cross,pointer_pullback_sma50,pointer_ols_breakout,pointer_strong_rsi,pointer_sma100_support,pointer_volume_contraction,pointer_weekly_trend_up,pointer_outperforming_index,pointer_rsi2_pullback,pointer_stoch_pullback,pointer_bb_pullback,pointer_inside_bar_breakout,pointer_nr7_breakout,pointer_ema21_pullback,pointer_hammer_at_support
ABB.NS,2026-03-02,7,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index; EMA 21 support pullback,5958.63,60.5,5598.93,6226.768349999999,target_hit,6226.768349999999,2026-03-11,6,4.5,True,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False
APOLLOHOSP.NS,2026-03-02,6,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,7791.5,73.2,7525.05,8142.117499999999,stop_loss_hit,7525.05,2026-03-04,1,-3.42,True,False,False,False,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False
AXISBANK.NS,2026-03-02,5,Uptrend (above rising SMA50); RSI in healthy zone; Weekly trend aligned (above Weekly EMA20); Outperforming index; EMA 21 support pullback,1372.3,55.6,1318.24,1434.0534999999998,stop_loss_hit,1318.24,2026-03-06,3,-3.94,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False
BAJAJ-AUTO.NS,2026-03-02,4,Uptrend (above rising SMA50); RSI in healthy zone; Weekly trend aligned (above Weekly EMA20); Outperforming index,9640.33,51.1,9213.03,10074.144849999999,stop_loss_hit,9213.03,2026-03-11,6,-4.43,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
BAJFINANCE.NS,2026-03-02,4,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Outperforming index,978.25,45.1,931.53,1022.2712499999999,stop_loss_hit,931.53,2026-03-09,4,-4.78,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
BANKBARODA.NS,2026-03-02,4,Uptrend (above rising SMA50); RSI in healthy zone; Weekly trend aligned (above Weekly EMA20); Outperforming index,305.32,60.4,290.68,319.0594,stop_loss_hit,290.68,2026-03-04,1,-4.79,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
BEL.NS,2026-03-02,9,Uptrend (above rising SMA50); RSI in healthy zone; MACD bullish crossover; Volume spike (>1.5x avg); Near 20-day high; Open-Low Same (conviction buy); Weekly trend aligned (above Weekly EMA20); Outperforming index; Inside Bar breakout,452.03,61.6,424.28,472.37134999999995,target_hit,472.37134999999995,2026-03-06,3,4.5,True,True,True,True,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False
BPCL.NS,2026-03-02,5,Uptrend (above rising SMA50); RSI in healthy zone; Volume spike (>1.5x avg); Weekly trend aligned (above Weekly EMA20); Outperforming index,374.8,51.9,355.66,391.666,stop_loss_hit,355.66,2026-03-04,1,-5.11,True,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
BRITANNIA.NS,2026-03-02,5,RSI in healthy zone; Pullback to SMA100 support; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,5959.0,45.7,5717.3,6227.155,stop_loss_hit,5717.3,2026-03-12,7,-4.06,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False
CANBK.NS,2026-03-02,4,Uptrend (above rising SMA50); RSI in healthy zone; Weekly trend aligned (above Weekly EMA20); Outperforming index,148.66,52.8,140.27,155.34969999999998,stop_loss_hit,140.27,2026-03-09,4,-5.64,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
