symbol,signal_date,score,reasons,entry_price,rsi,stop_loss,target,outcome,exit_price,exit_date,days_held,return_pct,pointer_uptrend_sma50,pointer_rsi_momentum,pointer_macd_crossover,pointer_volume_spike,pointer_breakout_proximity,pointer_adx_strong_trend,pointer_sma_cross,pointer_pullback_sma50,pointer_ols_breakout,pointer_strong_rsi,pointer_sma100_support,pointer_volume_contraction,pointer_weekly_trend_up,pointer_outperforming_index
ABB.NS,2026-02-18,7,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,5857.54,69.3,5551.63,6316.41,target_hit,6316.41,2026-03-12,15,7.83,True,False,False,False,True,True,False,False,False,True,False,True,True,True
ADANIENSOL.NS,2026-02-18,6,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,1035.7,59.8,963.9,1143.4,stop_loss_hit,963.9,2026-03-02,8,-6.93,True,True,False,False,True,False,False,False,False,False,False,True,True,True
ADANIENT.NS,2026-02-18,3,RSI in healthy zone; Volume contracting (low selling pressure); Outperforming index,2210.21,53.6,2071.47,2418.32,stop_loss_hit,2071.47,2026-03-04,9,-6.28,False,True,False,False,False,False,False,False,False,False,False,True,False,True
ADANIGREEN.NS,2026-02-18,4,RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,1000.1,57.7,924.23,1113.9,stop_loss_hit,924.23,2026-03-02,8,-7.59,False,True,False,False,False,False,False,False,False,False,False,True,True,True
ADANIPORTS.NS,2026-02-18,5,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,1544.29,59.1,1463.56,1665.39,stop_loss_hit,1463.56,2026-03-02,8,-5.23,True,True,False,False,False,False,False,False,False,False,False,True,True,True
ADANIPOWER.NS,2026-02-18,4,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),144.49,50.2,134.46,159.54,stop_loss_hit,134.46,2026-03-02,8,-6.94,True,True,False,False,False,False,False,False,False,False,False,True,True,False
APOLLOHOSP.NS,2026-02-18,8,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Open-Low Same (conviction buy); Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,7647.5,73.6,7356.62,8083.82,timeout,7574.5,2026-03-12,15,-0.95,True,False,False,False,True,True,False,False,True,True,False,True,True,True
ASIANPAINT.NS,2026-02-18,4,RSI bounced off oversold; MACD bullish crossover; ADX greater than 25; Volume contracting (low selling pressure),2432.1,38.6,2286.88,2649.93,stop_loss_hit,2286.88,2026-03-02,8,-5.97,False,True,True,False,False,True,False,False,False,False,False,True,False,False
AXISBANK.NS,2026-02-18,7,Uptrend (above rising SMA50); RSI in healthy zone; MACD bullish crossover; Near 20-day high; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,1377.0,62.3,1301.35,1490.48,stop_loss_hit,1301.35,2026-03-09,12,-5.49,True,True,True,False,True,False,False,False,False,False,False,True,True,True
BAJAJ-AUTO.NS,2026-02-18,6,Uptrend (above rising SMA50); Near 20-day high; Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,9841.5,65.6,9462.16,10410.51,stop_loss_hit,9462.16,2026-03-02,8,-3.85,True,False,False,False,True,False,False,False,False,True,False,True,True,True
BAJAJFINSV.NS,2026-02-18,6,RSI in healthy zone; Near 20-day high; Open-Low Same (conviction buy); Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,2060.6,60.7,1991.2,2164.7,stop_loss_hit,1991.2,2026-02-27,7,-3.37,False,True,False,False,True,False,False,False,True,False,False,True,True,True
BAJAJHLDNG.NS,2026-02-18,6,Uptrend (above rising SMA50); Near 20-day high; Open-Low Same (conviction buy); Strong RSI momentum; Volume contracting (low selling pressure); Outperforming index,11413.0,65.0,10901.96,12179.56,stop_loss_hit,10901.96,2026-02-26,6,-4.48,True,False,False,False,True,False,False,False,True,True,False,True,False,True
