symbol,signal_date,score,reasons,entry_price,rsi,stop_loss,target,outcome,exit_price,exit_date,days_held,return_pct,pointer_uptrend_sma50,pointer_rsi_momentum,pointer_macd_crossover,pointer_volume_spike,pointer_breakout_proximity,pointer_adx_strong_trend,pointer_sma_cross,pointer_pullback_sma50,pointer_ols_breakout,pointer_strong_rsi,pointer_sma100_support,pointer_volume_contraction,pointer_weekly_trend_up,pointer_outperforming_index,pointer_rsi2_pullback
ADANIENSOL.NS,2025-10-03,5,Uptrend (above rising SMA50); ADX greater than 25; Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,916.35,66.1,863.85,995.1,timeout,946.3499755859375,2025-10-27,15,3.27,True,False,False,False,False,True,False,False,False,True,False,False,True,True,False
ADANIENT.NS,2025-10-03,4,RSI in healthy zone; ADX greater than 25; Weekly trend aligned (above Weekly EMA20); Outperforming index,2588.74,63.1,2455.37,2788.8,timeout,2491.68603515625,2025-10-27,15,-3.75,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False
ADANIGREEN.NS,2025-10-03,5,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Weekly trend aligned (above Weekly EMA20); Outperforming index,1070.3,59.9,996.18,1181.48,timeout,1017.0999755859375,2025-10-27,15,-4.97,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False
ADANIPORTS.NS,2025-10-03,5,RSI in healthy zone; ADX greater than 25; Pullback to SMA100 support; Weekly trend aligned (above Weekly EMA20); Outperforming index,1413.14,57.9,1359.5,1493.61,timeout,1414.6380615234375,2025-10-27,15,0.11,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False
ADANIPOWER.NS,2025-10-03,5,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Weekly trend aligned (above Weekly EMA20); Outperforming index,147.38,57.9,130.88,172.13,target_hit,172.13,2025-10-20,11,16.79,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False
AMBUJACEM.NS,2025-10-03,3,RSI in healthy zone; Pullback to SMA100 support; Weekly trend aligned (above Weekly EMA20),573.31,50.3,549.42,609.15,timeout,557.490478515625,2025-10-27,15,-2.76,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
APOLLOHOSP.NS,2025-10-03,4,Volume spike (>1.5x avg); ADX greater than 25; Pullback to SMA100 support; Weekly trend aligned (above Weekly EMA20),7439.62,36.2,7215.22,7776.23,target_hit,7776.23,2025-10-14,7,4.52,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False
AXISBANK.NS,2025-10-03,8,Uptrend (above rising SMA50); Volume spike (>1.5x avg); Near 20-day high; ADX greater than 25; Open-Low Same (conviction buy); Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,1181.0,69.3,1140.98,1241.03,target_hit,1241.03,2025-10-23,13,5.08,True,False,False,True,True,True,False,False,True,True,False,False,True,True,False
BAJAJ-AUTO.NS,2025-10-03,4,Uptrend (above rising SMA50); Volume spike (>1.5x avg); Pullback to SMA100 support; Weekly trend aligned (above Weekly EMA20),8559.05,42.2,8194.26,9106.22,target_hit,9106.22,2025-10-20,11,6.39,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False
BAJFINANCE.NS,2025-10-03,5,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Weekly trend aligned (above Weekly EMA20); Outperforming index,989.75,56.3,949.77,1049.72,target_hit,1049.72,2025-10-15,8,6.06,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False
