date,symbol,entry_price,target_1_5,sl_1_5,rsi,vol_ratio,status,next_open,next_open_return,exit_price_b,exit_return_b,outcome_b,created_at
2026-04-17,360ONE.NS,1106.87,1123.48,1090.27,66.3,2.32,CLOSED,1101.31,-0.50%,1102.85,-0.36%,LOSS,2026-07-22T00:50:49.344700
2026-06-15,360ONE.NS,1130.8,1147.76,1113.84,60.9,2.56,CLOSED,1143.2,+1.10%,1147.76,+1.50%,WIN,2026-07-22T00:50:49.345322
2026-02-04,APLAPOLLO.NS,2174.2,2206.81,2141.59,75.9,1.38,CLOSED,2181.0,+0.31%,2182.1,+0.36%,WIN,2026-07-22T00:50:49.359724
2026-04-21,AUBANK.NS,1037.9,1053.47,1022.33,68.4,1.5,CLOSED,1037.0,-0.09%,1053.47,+1.50%,WIN,2026-07-22T00:50:49.364654
2026-04-23,AUBANK.NS,1056.25,1072.09,1040.41,70.7,1.98,CLOSED,1058.7,+0.23%,1072.09,+1.50%,WIN,2026-07-22T00:50:49.364696
2026-04-28,ADANIENT.NS,2411.32,2447.49,2375.15,76.5,1.78,CLOSED,2426.52,+0.63%,2424.82,+0.56%,WIN,2026-07-22T00:50:49.375892
2026-05-14,ADANIENT.NS,2711.69,2752.36,2671.01,75.5,3.88,CLOSED,2779.86,+2.51%,2779.86,+2.51%,WIN,2026-07-22T00:50:49.376051
2026-06-24,ADANIENT.NS,3069.7,3115.75,3023.65,65.5,1.21,CLOSED,3086.0,+0.53%,3038.0,-1.03%,LOSS,2026-07-22T00:50:49.376416
2026-07-01,ADANIENT.NS,3143.6,3190.75,3096.45,65.9,1.79,CLOSED,3155.9,+0.39%,3190.75,+1.50%,WIN,2026-07-22T00:50:49.376514
2026-02-03,ADANIPORTS.NS,1524.38,1547.24,1501.51,63.0,5.57,CLOSED,1523.48,-0.06%,1547.24,+1.50%,WIN,2026-07-22T00:50:49.386554
2026-02-04,ADANIPORTS.NS,1561.32,1584.74,1537.9,66.4,2.45,CLOSED,1561.42,+0.01%,1563.61,+0.15%,WIN,2026-07-22T00:50:49.386585
2026-04-15,ADANIPORTS.NS,1505.46,1528.04,1482.87,61.8,1.4,CLOSED,1518.5,+0.87%,1528.04,+1.50%,WIN,2026-07-22T00:50:49.387113
2026-04-16,ADANIPORTS.NS,1543.3,1566.45,1520.15,65.3,2.3,CLOSED,1552.46,+0.59%,1566.45,+1.50%,WIN,2026-07-22T00:50:49.387136
2026-02-04,ADANIPOWER.NS,155.29,157.62,152.96,69.0,4.76,CLOSED,155.29,+0.00%,152.96,-1.50%,LOSS,2026-07-22T00:50:49.390348
2026-03-16,ADANIPOWER.NS,154.06,156.37,151.75,65.5,4.57,CLOSED,156.0,+1.26%,156.37,+1.50%,WIN,2026-07-22T00:50:49.390647
2026-04-02,ADANIPOWER.NS,159.97,162.37,157.57,65.2,1.87,CLOSED,162.0,+1.27%,162.37,+1.50%,WIN,2026-07-22T00:50:49.390779
2026-05-25,ADANIPOWER.NS,233.38,236.88,229.88,69.4,1.82,CLOSED,234.25,+0.37%,236.88,+1.50%,WIN,2026-07-22T00:50:49.391167
2026-05-26,ADANIPOWER.NS,244.53,248.2,240.86,74.7,2.21,CLOSED,247.6,+1.26%,248.2,+1.50%,WIN,2026-07-22T00:50:49.391187
2026-05-05,ABCAPITAL.NS,360.85,366.26,355.44,64.2,3.37,CLOSED,365.0,+1.15%,366.26,+1.50%,WIN,2026-07-22T00:50:49.401031
2026-06-19,ABCAPITAL.NS,375.9,381.54,370.26,61.5,4.04,CLOSED,378.0,+0.56%,381.54,+1.50%,WIN,2026-07-22T00:50:49.401396
2026-06-22,ABCAPITAL.NS,391.95,397.83,386.07,68.0,3.49,CLOSED,394.4,+0.63%,386.07,-1.50%,LOSS,2026-07-22T00:50:49.401420
2026-05-08,APOLLOHOSP.NS,8097.0,8218.45,7975.55,69.3,2.59,CLOSED,8046.0,-0.63%,8082.0,-0.19%,LOSS,2026-07-22T00:50:49.419029
2026-07-14,APOLLOHOSP.NS,8900.5,9034.01,8766.99,67.4,1.42,CLOSED,8948.5,+0.54%,8934.0,+0.38%,WIN,2026-07-22T00:50:49.420681
2026-03-09,DMART.NS,3966.2,4025.69,3906.71,60.1,2.88,CLOSED,3993.0,+0.68%,3946.8,-0.49%,LOSS,2026-07-22T00:50:49.448509
2026-04-01,DMART.NS,4271.1,4335.17,4207.03,70.8,4.43,CLOSED,4228.4,-1.00%,4335.17,+1.50%,WIN,2026-07-22T00:50:49.448678
2026-04-02,DMART.NS,4362.4,4427.84,4296.96,73.3,2.19,CLOSED,4450.0,+2.01%,4450.0,+2.01%,WIN,2026-07-22T00:50:49.448699
2026-02-09,BSE.NS,2977.26,3021.92,2932.6,64.2,1.3,CLOSED,3101.83,+4.18%,3101.83,+4.18%,WIN,2026-07-22T00:50:49.457962
2026-02-10,BSE.NS,3165.86,3213.35,3118.37,72.0,4.14,CLOSED,3183.21,+0.55%,3213.35,+1.50%,WIN,2026-07-22T00:50:49.457989
2026-03-17,BSE.NS,2965.79,3010.27,2921.3,60.7,1.24,CLOSED,2974.46,+0.29%,2987.73,+0.74%,WIN,2026-07-22T00:50:49.458254
2026-05-18,BSE.NS,4109.87,4171.52,4048.22,77.0,1.43,CLOSED,4144.48,+0.84%,4171.52,+1.50%,WIN,2026-07-22T00:50:49.458706
2026-04-10,BAJAJ-AUTO.NS,9677.31,9822.47,9532.15,62.1,1.9,CLOSED,9566.86,-1.14%,9679.77,+0.03%,WIN,2026-07-22T00:50:49.461851
2026-04-30,BAJAJ-AUTO.NS,9855.3,10003.13,9707.47,62.9,3.29,CLOSED,9855.3,+0.00%,9855.3,+0.00%,LOSS,2026-07-22T00:50:49.462004
2026-07-13,BAJAJ-AUTO.NS,10381.0,10536.71,10225.28,63.1,2.89,CLOSED,10212.5,-1.62%,10212.5,-1.62%,LOSS,2026-07-22T00:50:49.462549
2026-02-12,BAJFINANCE.NS,993.0,1007.89,978.1,60.8,1.25,CLOSED,988.92,-0.41%,1007.89,+1.50%,WIN,2026-07-22T00:50:49.465048
2026-06-30,BAJFINANCE.NS,1004.75,1019.82,989.68,70.6,1.28,CLOSED,1000.4,-0.43%,1019.82,+1.50%,WIN,2026-07-22T00:50:49.468342
2026-07-02,BAJAJFINSV.NS,1855.7,1883.54,1827.86,66.7,1.61,CLOSED,1885.0,+1.58%,1885.0,+1.58%,WIN,2026-07-22T00:50:49.474625
2026-07-09,BAJAJFINSV.NS,1895.0,1923.42,1866.58,65.3,1.61,CLOSED,1905.3,+0.54%,1916.0,+1.11%,WIN,2026-07-22T00:50:49.474814
2026-04-23,BDL.NS,1423.3,1444.65,1401.95,66.2,1.33,CLOSED,1433.2,+0.70%,1444.65,+1.50%,WIN,2026-07-22T00:50:49.493793
2026-05-07,BDL.NS,1466.9,1488.9,1444.9,68.8,2.02,CLOSED,1474.0,+0.48%,1444.9,-1.50%,LOSS,2026-07-22T00:50:49.493914
2026-06-19,BDL.NS,1373.4,1394.0,1352.8,65.9,2.44,CLOSED,1384.7,+0.82%,1394.0,+1.50%,WIN,2026-07-22T00:50:49.494234
2026-06-22,BDL.NS,1406.7,1427.8,1385.6,69.1,1.72,CLOSED,1413.7,+0.50%,1427.8,+1.50%,WIN,2026-07-22T00:50:49.494254
2026-04-16,BHEL.NS,308.27,312.89,303.64,72.8,2.1,CLOSED,310.0,+0.56%,312.89,+1.50%,WIN,2026-07-22T00:50:49.509567
2026-06-29,BHEL.NS,412.42,418.61,406.23,60.6,4.21,CLOSED,413.22,+0.19%,418.61,+1.50%,WIN,2026-07-22T00:50:49.510147
2026-06-19,BHARTIARTL.NS,1910.8,1939.46,1882.14,64.1,1.86,CLOSED,1915.8,+0.26%,1916.6,+0.30%,WIN,2026-07-22T00:50:49.519142
2026-02-09,BLUESTARCO.NS,1927.55,1956.46,1898.63,68.3,3.28,CLOSED,1941.48,+0.72%,1956.46,+1.50%,WIN,2026-07-22T00:50:49.534597
2026-07-13,BLUESTARCO.NS,1707.72,1733.34,1682.11,63.4,1.78,CLOSED,1707.72,+0.00%,1733.34,+1.50%,WIN,2026-07-22T00:50:49.538393
2026-07-14,BLUESTARCO.NS,1737.68,1763.74,1711.61,66.7,2.17,CLOSED,1744.44,+0.39%,1745.34,+0.44%,WIN,2026-07-22T00:50:49.538443
2026-03-10,CGPOWER.NS,728.2,739.12,717.28,61.0,1.56,CLOSED,730.4,+0.30%,739.12,+1.50%,WIN,2026-07-22T00:50:49.553436
2026-04-15,CGPOWER.NS,748.0,759.22,736.78,62.5,1.41,CLOSED,759.05,+1.48%,759.22,+1.50%,WIN,2026-07-22T00:50:49.553670
2026-05-05,CGPOWER.NS,826.9,839.3,814.5,65.8,2.28,CLOSED,832.8,+0.71%,839.3,+1.50%,WIN,2026-07-22T00:50:49.553833
2026-05-27,CGPOWER.NS,934.8,948.82,920.78,73.9,2.45,CLOSED,934.8,+0.00%,934.8,+0.00%,LOSS,2026-07-22T00:50:49.554014
2026-05-06,CHOLAFIN.NS,1711.23,1736.9,1685.56,68.0,1.22,CLOSED,1724.32,+0.77%,1685.56,-1.50%,LOSS,2026-07-22T00:50:49.562002
2026-06-24,CHOLAFIN.NS,1792.2,1819.08,1765.31,73.6,1.44,CLOSED,1806.29,+0.79%,1798.49,+0.35%,WIN,2026-07-22T00:50:49.563228
2026-07-06,CHOLAFIN.NS,1849.77,1877.52,1822.03,73.9,1.66,CLOSED,1861.27,+0.62%,1852.67,+0.16%,WIN,2026-07-22T00:50:49.563522
2026-06-22,CIPLA.NS,1415.7,1436.94,1394.46,62.0,2.2,CLOSED,1422.8,+0.50%,1436.94,+1.50%,WIN,2026-07-22T00:50:49.569383
2026-03-12,COALINDIA.NS,470.1,477.15,463.05,70.2,2.78,CLOSED,473.0,+0.62%,463.05,-1.50%,LOSS,2026-07-22T00:50:49.572552
2026-05-08,COFORGE.NS,1368.1,1388.62,1347.58,66.0,2.38,CLOSED,1375.8,+0.56%,1375.2,+0.52%,WIN,2026-07-22T00:50:49.584431
2026-06-16,COFORGE.NS,1464.8,1486.77,1442.83,60.5,1.28,CLOSED,1494.5,+2.03%,1494.5,+2.03%,WIN,2026-07-22T00:50:49.585416
2026-07-13,COFORGE.NS,1540.9,1564.01,1517.79,60.5,1.39,CLOSED,1545.0,+0.27%,1564.01,+1.50%,WIN,2026-07-22T00:50:49.586123
