name,symbol,date,score,reasons,signals,close,rsi,adx,vol_ratio,close_vs_high20,close_vs_sma50
INDIGO,INDIGO.NS,2026-06-25,4,"['Uptrend (above rising SMA50)', 'Volume spike (>1.5x avg)', 'Near 20-day high', 'ADX greater than 25']","{'uptrend_sma50': True, 'rsi_momentum': False, 'macd_crossover': False, 'volume_spike': True, 'breakout_proximity': True, 'adx_strong_trend': True, 'sma_cross': False, 'pullback_sma50': False}",5450.0,78.6,27.01223066055487,4.75,1.0466,19.59
M&M,M&M.NS,2026-06-25,3,"['RSI in healthy zone', 'Volume spike (>1.5x avg)', 'Near 20-day high']","{'uptrend_sma50': False, 'rsi_momentum': True, 'macd_crossover': False, 'volume_spike': True, 'breakout_proximity': True, 'adx_strong_trend': False, 'sma_cross': False, 'pullback_sma50': False}",3182.2,59.2,15.460201691169832,1.58,1.0141,2.28
MAXHEALTH,MAXHEALTH.NS,2026-06-25,4,"['Uptrend (above rising SMA50)', 'Volume spike (>1.5x avg)', 'Near 20-day high', 'Recent SMA50/SMA100 bullish crossover']","{'uptrend_sma50': True, 'rsi_momentum': False, 'macd_crossover': False, 'volume_spike': True, 'breakout_proximity': True, 'adx_strong_trend': False, 'sma_cross': True, 'pullback_sma50': False}",1123.35,72.3,24.311483498818223,1.67,1.0258,10.04
MARUTI,MARUTI.NS,2026-06-25,4,"['Uptrend (above rising SMA50)', 'RSI in healthy zone', 'Volume spike (>1.5x avg)', 'Near 20-day high']","{'uptrend_sma50': True, 'rsi_momentum': True, 'macd_crossover': False, 'volume_spike': True, 'breakout_proximity': True, 'adx_strong_trend': False, 'sma_cross': False, 'pullback_sma50': False}",13745.0,60.5,13.505078889108116,2.37,0.9957,3.51
TATACONSUM,TATACONSUM.NS,2026-06-25,3,"['RSI in healthy zone', 'MACD bullish crossover', 'Volume spike (>1.5x avg)']","{'uptrend_sma50': False, 'rsi_momentum': True, 'macd_crossover': True, 'volume_spike': True, 'breakout_proximity': False, 'adx_strong_trend': False, 'sma_cross': False, 'pullback_sma50': False}",1131.3,50.0,24.408754982869976,1.65,0.9391,-1.99
NESTLEIND,NESTLEIND.NS,2026-06-25,1,['RSI in healthy zone'],"{'uptrend_sma50': False, 'rsi_momentum': True, 'macd_crossover': False, 'volume_spike': False, 'breakout_proximity': False, 'adx_strong_trend': False, 'sma_cross': False, 'pullback_sma50': False}",1402.6,50.2,13.809552487087517,0.93,0.9752,-1.09
DRREDDY,DRREDDY.NS,2026-06-25,2,"['Uptrend (above rising SMA50)', 'Near 20-day high']","{'uptrend_sma50': True, 'rsi_momentum': False, 'macd_crossover': False, 'volume_spike': False, 'breakout_proximity': True, 'adx_strong_trend': False, 'sma_cross': False, 'pullback_sma50': False}",1350.5,69.8,18.996655593495998,1.15,1.0166,4.31
MOTHERSON,MOTHERSON.NS,2026-06-25,4,"['Uptrend (above rising SMA50)', 'Volume spike (>1.5x avg)', 'Near 20-day high', 'ADX greater than 25']","{'uptrend_sma50': True, 'rsi_momentum': False, 'macd_crossover': False, 'volume_spike': True, 'breakout_proximity': True, 'adx_strong_trend': True, 'sma_cross': False, 'pullback_sma50': False}",151.71,66.1,39.28299032224145,3.64,1.0242,12.25
TMCV,TMPV.NS,2026-06-25,0,[],"{'uptrend_sma50': False, 'rsi_momentum': False, 'macd_crossover': False, 'volume_spike': False, 'breakout_proximity': False, 'adx_strong_trend': False, 'sma_cross': False, 'pullback_sma50': False}",353.2,41.2,18.768479354428283,1.15,0.8882,-2.73
TVSMOTOR,TVSMOTOR.NS,2026-06-25,3,"['RSI in healthy zone', 'Volume spike (>1.5x avg)', 'Near 20-day high']","{'uptrend_sma50': False, 'rsi_momentum': True, 'macd_crossover': False, 'volume_spike': True, 'breakout_proximity': True, 'adx_strong_trend': False, 'sma_cross': False, 'pullback_sma50': False}",3569.7,61.5,13.273929318441978,2.1,1.0232,2.84
CGPOWER,CGPOWER.NS,2026-06-25,2,"['Uptrend (above rising SMA50)', 'RSI in healthy zone']","{'uptrend_sma50': True, 'rsi_momentum': True, 'macd_crossover': False, 'volume_spike': False, 'breakout_proximity': False, 'adx_strong_trend': False, 'sma_cross': False, 'pullback_sma50': False}",942.1,57.5,21.435065524286646,0.84,0.9775,7.59
SIEMENS,SIEMENS.NS,2026-06-25,1,['RSI in healthy zone'],"{'uptrend_sma50': False, 'rsi_momentum': True, 'macd_crossover': False, 'volume_spike': False, 'breakout_proximity': False, 'adx_strong_trend': False, 'sma_cross': False, 'pullback_sma50': False}",3627.9,47.2,13.118645291289145,1.14,0.9353,-2.36
CUMMINSIND,CUMMINSIND.NS,2026-06-25,2,"['Uptrend (above rising SMA50)', 'RSI in healthy zone']","{'uptrend_sma50': True, 'rsi_momentum': True, 'macd_crossover': False, 'volume_spike': False, 'breakout_proximity': False, 'adx_strong_trend': False, 'sma_cross': False, 'pullback_sma50': False}",5642.0,50.5,15.550741800743667,1.02,0.936,2.85
GODREJCP,GODREJCP.NS,2026-06-25,2,"['RSI in healthy zone', 'Near 20-day high']","{'uptrend_sma50': False, 'rsi_momentum': True, 'macd_crossover': False, 'volume_spike': False, 'breakout_proximity': True, 'adx_strong_trend': False, 'sma_cross': False, 'pullback_sma50': False}",1034.6,54.0,14.08131717547596,0.78,0.9906,-0.63
